	Date	Open	High	Low	Close
0	2020-04-02	113.18	119.110001	112.339996	118.650002
1	2020-04-03	117.209999	119.910004	117.029999	119.480003
2	2020-04-06	119.059998	126.389999	118.940002	126.07
3	2020-04-07	123.980003	126.489998	121.639999	121.989998
4	2020-04-08	123.690002	123.809998	120.589996	121.839996
5	2020-04-09	118.220001	122.870003	117.660004	121.800003
6	2020-04-13	121.269997	125.669998	121.169998	125.300003
7	2020-04-14	127.099998	129.789993	126.040001	129.0
8	2020-04-15	129.0	129.880005	127.120003	128.759995
9	2020-04-16	129.0	132.919998	128.25	132.330002
10	2020-04-17	131.479996	132.970001	129.729996	132.119995
11	2020-04-20	132.389999	133.380005	129.759995	129.850006
12	2020-04-21	130.070007	131.029999	128.160004	129.210007
13	2020-04-22	130.0	132.380005	128.899994	131.589996
14	2020-04-23	129.850006	131.089996	127.730003	128.529999
15	2020-04-24	129.350006	129.889999	128.559998	129.440002
16	2020-04-27	130.0	130.309998	128.169998	128.300003
17	2020-04-28	128.279999	130.240005	127.699997	128.0
18	2020-04-29	125.57	125.760002	122.550003	123.599998
19	2020-04-30	123.080002	123.440002	121.040001	121.550003
20	2020-05-01	121.480003	123.690002	120.779999	122.919998
21	2020-05-04	123.839996	124.400002	121.709999	123.699997
22	2020-05-05	123.800003	125.260002	123.260002	124.730003
23	2020-05-06	125.209999	125.489998	122.849998	123.300003
24	2020-05-07	123.459999	123.980003	121.5	121.889999
25	2020-05-08	122.75	123.010002	121.620003	122.940002
26	2020-05-11	123.040001	124.309998	123.010002	123.669998
27	2020-05-12	124.480003	125.660004	123.779999	123.779999
28	2020-05-13	123.5	126.239998	123.089996	123.709999
29	2020-05-14	124.849998	125.129997	121.300003	123.419998
30	2020-05-15	123.470001	125.940002	123.089996	125.940002
31	2020-05-18	127.5	128.559998	126.099998	127.660004
32	2020-05-19	131.75	131.990005	124.809998	124.949997
33	2020-05-20	126.489998	126.589996	124.629997	125.449997
34	2020-05-21	124.889999	126.139999	124.25	124.989998
35	2020-05-22	125.099998	125.349998	123.769997	124.330002
36	2020-05-26	124.339996	125.510002	123.629997	123.860001
37	2020-05-27	123.970001	124.489998	121.029999	122.480003
38	2020-05-28	123.720001	124.949997	123.160004	123.690002
39	2020-05-29	124.239998	124.709999	121.93	124.059998
40	2020-06-01	123.440002	124.410004	122.360001	123.959999
41	2020-06-02	123.589996	124.150002	122.809998	123.940002
42	2020-06-03	123.900002	123.989998	122.660004	123.470001
43	2020-06-04	122.800003	123.889999	121.82	122.110001
44	2020-06-05	122.57	122.68	119.910004	121.559998
45	2020-06-08	119.580002	121.239998	119.459999	121.239998
46	2020-06-09	121.599998	122.0	120.559998	121.349998
47	2020-06-10	121.559998	122.5	121.129997	121.160004
48	2020-06-11	120.989998	122.580002	119.480003	120.089996
49	2020-06-12	120.510002	120.75	117.059998	117.739998
50	2020-06-15	118.400002	118.68	117.010002	118.080002
51	2020-06-16	119.800003	120.230003	118.540001	119.650002
52	2020-06-17	119.860001	120.129997	118.400002	119.029999
53	2020-06-18	118.540001	119.059998	117.660004	117.989998
54	2020-06-19	118.889999	120.300003	117.75	119.849998
55	2020-06-22	120.970001	122.089996	120.400002	121.68
56	2020-06-23	122.75	122.849998	120.959999	121.07
57	2020-06-24	120.739998	121.120003	119.580002	120.300003
58	2020-06-25	119.760002	120.160004	118.379997	119.709999
59	2020-06-26	119.599998	120.839996	118.019997	118.32
60	2020-06-29	118.5	119.68	118.220001	119.059998
61	2020-06-30	119.220001	120.129997	118.540001	119.779999
62	2020-07-01	119.449997	119.919998	118.660004	119.690002
63	2020-07-02	120.089996	120.879997	118.860001	119.209999
64	2020-07-06	119.800003	119.870003	118.220001	118.889999
65	2020-07-07	118.449997	127.550003	118.220001	126.949997
66	2020-07-08	128.0	128.130005	124.400002	124.440002
67	2020-07-09	125.610001	128.179993	124.949997	127.75
68	2020-07-10	128.740005	131.369995	127.260002	130.679993
69	2020-07-13	131.330002	133.630005	128.889999	129.520004
70	2020-07-14	129.279999	132.5	129.029999	132.009995
71	2020-07-15	132.270004	134.130005	130.800003	132.0
72	2020-07-16	132.050003	132.729996	131.240005	132.199997
73	2020-07-17	133.369995	133.369995	131.470001	131.740005
74	2020-07-20	131.960007	132.740005	131.139999	131.470001
75	2020-07-21	131.559998	133.990005	131.449997	132.330002
76	2020-07-22	132.570007	133.029999	131.190002	132.660004
77	2020-07-23	133.0	133.149994	131.309998	131.639999
78	2020-07-24	130.949997	132.399994	130.509995	131.240005
79	2020-07-27	130.860001	131.979996	130.860001	131.210007
80	2020-07-28	131.5	132.380005	130.919998	131.759995
